uid;nom;prenom;groupe_sigle;total_votes_exprimes;votes_loyaux;votes_rebelles;score_loyaute_pct;en_cours
PA870009;Duparay;Lionel;DR;1079;931;148;86.28;True
PA1654;Hollande;François;SOC;787;679;108;86.28;True
PA607090;Vigier;Jean-Pierre;DR;1108;956;152;86.28;True
PA721750;Calvez;Céline;EPR;1606;1385;221;86.24;True
PA795350;Valletoux;Frédéric;HOR;1870;1611;259;86.15;True
PA712015;Dive;Julien;DR;722;621;101;86.01;True
PA720342;Le Peih;Nicole;EPR;1912;1644;268;85.98;True
PA721170;Vojetta;Stéphane;EPR;328;282;46;85.98;False
PA793122;Daubié;Romain;Dem;1473;1265;208;85.88;True
PA266797;Gosselin;Philippe;DR;1098;943;155;85.88;True
PA794830;Ott;Hubert;Dem;1294;1111;183;85.86;True
PA267763;Bataille;Jean-Pierre;LIOT;1013;869;144;85.78;True
PA841833;Guerin;David;HOR;84;72;12;85.71;False
PA793094;Ray;Nicolas;DR;1967;1686;281;85.71;True
PA842147;Mongardien;Christophe;EPR;1996;1708;288;85.57;True
PA719138;Castellani;Michel;LIOT;277;237;40;85.56;True
PA841047;Ceccoli;François-Xavier;DR;761;651;110;85.55;True
PA332523;Dalloz;Marie-Christine;DR;1186;1012;174;85.33;True
PA794058;Gruet;Justine;DR;1478;1261;217;85.32;True
PA720230;Magnier;Lise;HOR;1817;1549;268;85.25;True
PA795334;Larrouquis;Benoît;EPR;284;242;42;85.21;True
PA794578;Ludmann;Véronique;HOR;27;23;4;85.19;True
PA794330;Brosse;Anthony;EPR;3472;2957;515;85.17;True
PA842141;de Maistre;Élisabeth;DR;1467;1249;218;85.14;True
PA720386;Di Filippo;Fabien;DR;924;786;138;85.06;True
PA794038;Neuder;Yannick;DR;287;244;43;85.02;True
PA642725;Liégeon;Eric;DR;1866;1585;281;84.94;True
PA794178;Taite;Jean-Pierre;DR;650;552;98;84.92;True
PA840817;Bruneau;Joël;LIOT;2714;2304;410;84.89;True
PA722374;Isaac-Sibille;Cyrille;Dem;1274;1081;193;84.85;True
PA719922;Causse;Lionel;EPR;789;669;120;84.79;True
PA793342;Martin;Alexandra;DR;751;636;115;84.69;True
PA721296;Gouffier Valente;Guillaume;EPR;2126;1800;326;84.67;True
PA719512;Vignon;Corinne;EPR;1628;1378;250;84.64;True
PA722150;Houlié;Sacha;SOC;916;770;146;84.06;True
PA721158;Anglade;Pieyre-Alexandre;EPR;1422;1194;228;83.97;True
PA330909;Descoeur;Vincent;DR;1322;1109;213;83.89;True
PA721486;Naegelen;Christophe;LIOT;872;731;141;83.83;True
PA841339;Brard;Jean-Michel;HOR;1250;1045;205;83.6;True
PA794750;Liger;Thierry;DR;479;400;79;83.51;False
PA642695;Bothorel;Éric;EPR;1907;1589;318;83.32;True
PA842125;Lam;Thomas;HOR;3159;2628;531;83.19;True
PA722252;Rixain;Marie-Pierre;EPR;378;314;64;83.07;True
PA795244;Lenormand;Stéphane;LIOT;673;558;115;82.91;True
PA795176;Metzdorf;Nicolas;EPR;965;800;165;82.9;True
PA794206;Marion;Christophe;EPR;2753;2281;472;82.86;True
PA408578;Berger;Jean-Didier;DR;903;748;155;82.83;False
PA719118;Cormier-Bouligeon;François;EPR;1411;1168;243;82.78;True
PA368;Barnier;Michel;DR;336;278;58;82.74;True
PA720092;Ramos;Richard;Dem;244;201;43;82.38;True
PA721442;Petex;Christelle;DR;448;369;79;82.37;False
PA793270;Rousset;Jean-François;EPR;2841;2339;502;82.33;True
PA718850;Cordier;Pierre;DR;693;569;124;82.11;True
PA332228;Benoit;Thierry;HOR;2000;1638;362;81.9;True
PA719918;Lainé;Fabien;Dem;22;18;4;81.82;False
PA720644;Nury;Jérôme;DR;529;431;98;81.47;True
PA266793;Bony;Jean-Yves;DR;983;800;183;81.38;True
PA677483;Mazars;Stéphane;EPR;1453;1182;271;81.35;True
PA1327;Forissier;Nicolas;DR;337;274;63;81.31;False
PA795888;Rousselot;Marie-Ange;EPR;432;351;81;81.25;False
PA346782;Juvin;Philippe;DR;2005;1627;378;81.15;True
PA759832;Pannier-Runacher;Agnès;EPR;613;495;118;80.75;True
PA795730;Marchive;Bastien;EPR;1498;1209;289;80.71;True
PA794118;Vermorel-Marques;Antoine;DR;618;498;120;80.58;True
PA794658;Fait;Philippe;HOR;799;643;156;80.48;True
PA794114;Mandon;Emmanuel;Dem;1164;934;230;80.24;True
PA722358;Gassilloud;Thomas;EPR;351;281;70;80.06;True
PA793508;Brigand;Hubert;DR;625;500;125;80.0;True
PA720154;Dubré-Chirat;Nicole;EPR;2437;1945;492;79.81;True
PA607553;Potier;Dominique;SOC;2039;1619;420;79.4;True
PA793796;Taupiac;David;LIOT;716;568;148;79.33;True
PA721234;Petit;Maud;Dem;1797;1425;372;79.3;True
PA795330;Caroit;Eléonore;NI;833;659;174;79.11;False
PA330008;Breton;Xavier;DR;811;638;173;78.67;True
PA720976;Mathiasin;Max;LIOT;251;197;54;78.49;True
PA607619;Molac;Paul;LIOT;1085;851;234;78.43;True
PA719404;Le Gac;Didier;EPR;942;735;207;78.03;True
PA720022;Lauzzana;Michel;EPR;1896;1470;426;77.53;True
PA719272;Meunier;Frédérique;DR;851;655;196;76.97;True
PA718838;Brun;Fabrice;DR;491;375;116;76.37;True
PA1592;Habib;David;LIOT;283;216;67;76.33;True
PA719736;Galliard-Minier;Camille;EPR;1209;919;290;76.01;False
PA794718;Engrand;Christine;NI;791;601;190;75.98;True
PA841151;Fruchon;Alix;DR;516;391;125;75.78;True
PA841601;Levasseur;Pauline;EPR;535;402;133;75.14;False
PA720960;Serva;Olivier;LIOT;124;93;31;75.0;True
PA721110;Sanquer;Nicole;LIOT;417;311;106;74.58;True
PA309643;Besse;Véronique;NI;343;253;90;73.76;True
PA720446;Liso;Brigitte;EPR;1573;1160;413;73.74;True
PA2952;Warsmann;Jean-Luc;LIOT;1000;727;273;72.7;True
PA721336;Brocard;Blandine;Dem;1051;743;308;70.69;True
PA720100;Pradié;Aurélien;NI;160;112;48;70.0;True
PA857021;Latrèche;Alim;EPR;22;14;8;63.64;True
PA721836;Barrot;Jean-Noël;Dem;0;0;0;;False
PA605991;Genevard;Annie;DR;0;0;0;;False
PA795958;Haddad;Benjamin;EPR;0;0;0;;False
PA720480;Parmentier-Lecocq;Charlotte;HOR;0;0;0;;True
PA840737;Termet;Flavien;RN;0;0;0;;False
PA793334;Tribuiani;Cyril;RN;0;0;0;;True
